Name,Date,Review,Rating
Федор,2023-07-11,"Не первый раз покупаем у Донстроя, могу сказать, что итоговое качество заявленному соответствует. Если и возникали какие-то косяки на приемке квартир, то они решались застройщиком без конфликтов и нашего вмешательства. Сейчас покупаем уже третью квартиру, наконец-то для своей семьи, потому что понравилась Река дочери. А в остальных двух живут квартиранты, ни о каких проблемах они не сообщали.",5
Рустам,2023-07-07,"Я об этом застройщике узнал от друга-риэлтора. Он сказал, что их квартиры хорошо идут, дольщики в целом довольны сроками сдачи жилья. Я решил не рисковать и остановиться на уже проверенной компании, хотя изначально засматривался на жк от другого застройщика. Выбор у них оказался неплохой, я нашел достойный вариант. Жду ключи, думаю все пройдет гладко.",5
Константин,2023-06-22,"Поведение сотрудников в отделе продаж крайне профессиональное, без принятого у продажников льстивого заискивания (не люблю такое), ответы на вопросы ясные, если что-то пока не известно, то так прямо и говорят, за нос не водят",5
Дарья Пономарева,2023-06-15,"Красивый светлый офис продаж, атмосфера там располагающая) Причем добрались до него достаточно быстро и нашли его тоже быстро, удобное расположение. Менеджеры доброжелательные, хорошо нас встретили, угостили чаем. Приятно, что уже на этом этапе такая заинтересованность в клиенте)",5
Мария Орлова,2023-06-13,"Мне нравятся, как они строят, не тупо дома, но еще и какую то инфраструктуру делают. Рядом с нашим ЖК открыли огромный парк, там и площадки есть, и просто много места, чтобы на великах погонять или пикник устроить. На лето в парке, вообще, будут устраивать разные концерты, мастер классы и прочие мероприятия. Мы очень довольны, что идея с парком реализовалась по полной!",5
Милана,2023-05-04,"У нас квартира в Сердце столицы, но еще не живем, мы на стадии ремонта) Так вот сделано все перфектно, по качеству вопросов вообще нет. Мы рады, потому что переживали за этот аспект, но не подвели нас) Плюс это значительно упростило сам ремонт",5
Вероника,2023-03-18,Хорошая компания,5
Ольга,2023-03-02,"Хорошая компания, по офису продаж сложилось приятное впечатление. Атмосфера располагает, грамотность сотрудников и наличие необходимой документации вызывают доверие. Еще менеджер от нас ничего не утаивал, это тоже весомый плюс",5
Пользователь,2023-02-17,"Я сейчас жду свою квартиру, слежу за строительством по камерам, иногда сам заезжаю на район, всегда процесс идет полным ходом. Когда покупал, конечно, парился, вдруг не достроят, вдруг задержат сдачу. А сейчас уже мой корпус почти готовый стоит, и никакие события не помешали стройке.",5
Кирилл,2023-02-17,"Когда покупали квартиру, совсем не разбирались в этой сфере, в застройщиках. Хорошо, что нам тогда Донстрой попался) А то могли бы нарваться на кого-нибудь недобросовестного и так сказать, получить негативный опыт",5
Саша,2022-12-27,"Качество строительства просто отличное - мы специально на приёмку брали очень грамотного специалиста, они с менеджером больше часа кружили по квартире, но ничего не нашли))) Повезло нам или это норма для застройщика - не знаю, но мы очень рады нашей новой квартире и тому, что мы без каких-либо заморочек получили ключи.",5
Дмитрий Компасов,2022-12-06,"Не всегда застройщики строят то, что заявлено в буклете, но здесь другая история. Я даже сам сравнивал с фото, по моему дому идеально все совпадает. Получается, что обещали, то и сделали. Результатом я доволен.",5
Татьяна,2022-11-28,"Уютно обустроили офис продаж. Персонал любезный, предложили нам чай. Но самое главное, что менеджеры толковые, которые не только за продажами гонятся, но и правда могут помочь покупателю)",5
Марина,2022-11-27,"Мы очень довольны тем, как выглядят корпуса, двор - всё выглядит в точности как и предполагали)) У нас прям новая глава в жизни, можно сказать, что началась после переезда)",5
Пользователь,2022-11-15,"Хорошие квартиры, жк удачно расположены. Мы взяли уже вторую квартиру для сдачи в аренду, на этот раз в Символе) Предыдущую квартиру брали в Сердце столицы, там уже жильцы живут, им нравится)",5
Александр,2022-11-01,"В ЖК Фреш в квартире с финишной отделкой от застройщика промерзают стены из-за плохо сделанных откосов, продувает окна, температура держится 15 градусов в угловой комнате когда на улице 1-3 градуса. Пишу заявления никто не отвечает.",2
Михаил,2022-10-27,"В первую очередь смотрю не на саму рекламу ЖК, а на застройщика, на картинках могут чего угодно нарисовать, а действительно реализовать и сделать это качественно, могут не многие. Донстрой уже 2 раза меня не подводил, квартиры сдали в отличном состояние, дома на 5 с плюсом.",5
Милана Коровина,2022-10-20,"Взяли квартиру Донстрой, очень довольны. Начиная от менеджеров заканчивая самим строительством все на высоком уровне.",5
Дмитрий,2022-10-19,"Оформил ипотеку на двушку в Событии. Менеджер помог мне все оформить, объяснял что к чему. Взял я во 2 квартале, прогресс по стройке там уже хороший. Посматриваю периодически по камерам на сайте Донстроя.",5
Дарья Резникова,2022-10-19,"Пришли в Донстрой по рекомендации подруги, понравился ЖК Символ, как раз для нашей молодой семьи идеально подходит, свой большой парк, на несколько кварталов, новый детский сад, школу строят, рядом много детских учреждений открывают для занятий с детьми. Сыну здесь точно будет не скучно расти)",5
Тимур,2022-10-12,"Долго выбирали подрядчика, район и комплекс - первая покупка квартиры, очень боялись ошибиться. Сейчас, в самом разгаре ремонта, я понимаю, что с выбором всех трёх мы не прогадали)) Очень доволен, этому удачному вложению, в будущее своей семьи)",5
Пользователь,2022-10-06,"Живем в Сердце столицы уже около года) Расположение, инфраструктура, всем довольны) Дворовая территория у нас крутая, ее и наши друзья оценили. Они в итоге тоже купили здесь квартиру, но в строящемся 10 корпусе. А нам перепали подарочки от Донстроя за то, что клиентов им привели)",5
Михаил,2022-09-28,"Донстрою я доверяю, поскольку был уже положительный опыт с застройщиком. Родители брали себе квартиру, сейчас уже пару лет живут и все хорошо. Качество строительства отличное, не зря Донстрой постоянно в топы залетает) Поэтому безо всяких сомнений оформил себе квартиру в Событии",5
Светлана,2022-09-19,"Нам в Символе хорошо, у нас двушка не на самом высоком этаже, но и отсюда вид отличный) Обслуживание радует, всегда чисто, территория тоже ухоженная. В этом плане УК молодцы) Вот ждем когда все кварталы достроят, тогда уже можно будет судить о жк в целом. На данный момент все отлично)",5
Пользователь,2022-09-06,"Буквально на днях видела новость, что 15 корпус введен в эксплуатацию, и скоро будут выдавать ключи. Счастью нет предела)) Получается, уже половина пути пройдена, останется только приемка и ремонт. Волнительно, конечно, как все пройдет, но думаю все будет хорошо)",5
Пользователь,2022-08-04,"С нами менеджер на связи по сей день. Звоним ему периодически, если срочные вопросы возникают. Всегда вежливо отвечает или уточняет и перезванивает. Мы довольны таким обслуживанием, я так понял не у всех застройщиков такое встречается",5
Владок,2020-12-15,"Сегодня прочитал в ведомстях, что дс собирается строить какой-то масштабный проект в мневниках. Интересно, когда инфу выкатят, хотя бы презентацию проекта.",5
Андрей,2020-07-24,"Дорогие друзья, хочу поблагодарить потрясающего менеджера по продажам квартир в жк ""Символ"", Екатерину Супряга! В её лице всю компанию Донстрой! Пока работают такие сотрудники, как Екатерина, у Донстроя всё будет хорошо!! Приобретение квартиры очень волнительный момент, Екатерина смогла сделать всё возможное, чтобы мы не переживали! Проявила высочайший уровень профессионализма и заботы о клиентах (о нас)! За что мы очень ей благодарны! С нашей первой встречи, появилось полное доверие и уверенность, что у нас всё получится! Екатерина - Вы супер! Спасибо большое! Желаем успехов во всех делах!! С уважением, Андрей.",5
Оксана,2020-07-22,"Забронировали квартиру в Символе, очень долго сомневались между вариантами, спасибо менеджеру Михайловой Ксении, очень терпеливый и компетентный работник, всегда доброжелательна и готова ответить на все интересующие вопросы)",5
Володимир,2020-04-24,"Приняли квартиру в Символе, по качеству вопросов нет, все окей. Приемкой занимался самостоятельно, так как не один год кручусь в сфере строительства, так что все знаю.",5
Figaro,2020-02-28,"Информации нет, потому что Донстрой не является филиалом росреестра))) Обратитесь туда. Насколько я знаю, в прошлом году какие-то изменение вступили в силу в порядке регистрации дду, связано очевидно с этим.",4
Nick,2020-02-27,"У меня тоже договор долевого участия не сразу зарегали, там какие-то изменения в пакете документов что ли, короче надо было пакет заново собирать, поэтому проблемы. Менеджеры тоже мало чем могли помочь, они все же продают, а не регистрируют договоры. Поэтому я без обиды. Главное, что зарегали в итоге.",5
Юлия,2020-02-25,"Договор уступки прав на квартиру в комплексе «Огни» подписан 21 ноября 2019 года, услуга регистрации прав договора оплачена. Сегодня 25 февраля 2020 года, договор не зарегистрирован и когда будет зарегистрирован неизвестно, руководитель отдела продаж не владеет информацией. Многократно обращалась к менеджерам компании Донстрой , информации нет.",1
Светлана,2020-01-22,"Приятно было и неожиданно , что реальность оказалась такой, как в принципе и ""замечтали"" себе, купив квартиру у вас . Спасибо. Здорово было бы и посотрудничать с вами в качестве проектирования дизайна интерьера, комплектации ваших новостроек. С уважением, Светлана.",5
Дмитрий,2019-12-30,"Заинтересовал их комплекс Событие. Съездил в офис на Лобачевского пообщался с менеджером, довольно подробно описал мне проект и проконсультировал по срокам, сложилось хорошее впечатление. Думаю, что все-таки буду брать квартиру именно там, тем более, что сейчас есть неплохие скидки на определенный пул, можно до миллиона сэкономить.",5
ole milesh,2019-12-03,"Квартиру покупала в 2016 и считаю, что выбор весьма удачный. Стоимость жилья тут сейчас очень высокая по сравнению с моментом покупки, так как корпуса готовы, вокруг благоустройство по высшему уровню, вопрос социалки решенный и уже анонсировано строительство садик, на первых этажах открывается вся необходимая коммерция от продуктовых магазинов и до стоматологии.",5
Тихонова Мария,2019-11-29,"Квартиру покупала в 2016 и считаю, что выбор весьма удачный. Стоимость жилья тут сейчас очень высокая по сравнению с моментом покупки, так как корпуса готовы, вокруг благоустройство по высшему уровню, вопрос социалки решенный и уже анонсировано строиетльство садик, на первых этажах открывается вся необходимая коммерция от продуктовых магазинов и до стоматологии.",5
Пользователь,2019-11-28,"Во-первых, у нас с октября температура в квартире более чем приемлемая. Состою в общем чате жк и в чате своего корпуса, давно перестали на холод жаловаться. Во-вторых, могут быть перепутаны ввод и вывод при подключении радиаторов.",5
Татьяна Кривцова,2019-11-26,"Я собственник квартиры в жк Сердце столицы 3 строительный корпус и у нас большая проблема с отоплением, замерзаем. Температура +16. УК Моторин ссылается на застройщика Донстрой. Проблема не решается. Что мы будем делать зимой, когда наступят серьезные морозы? И это жилье бизнес класс, потолки высокие, а отопление низкое.",1
Инна Георгиева,2019-10-03,"Кто-то жалуется, что менеджеры по продажам плохо работают. А донстрой тем временем увеличил выручку от продаж на 48%. Как-то сомнительно, что они клиентов футболят)))",5
Норма Беггинс,2019-06-04,"Люди наглеют не по дням. Итак скидка предоставляется в готовом доме, куда еще скидки? Бесплатно вам совсем квартиры отдавать что ли?))))",5
Григорий,2019-05-31,"лучший застройщик москвы! дома красивые, качественные, в выгодных локациях.",5
Лилия,2018-10-09,"Я давно присмотрела себе квартиру у Донстроя, в Сердце столицы, но как на зло пока занималась оформлением пришлось срочно уехать. Благо сейчас появилась возможность купить квартиру онлайн, на мой взгляд это здорово облегчает жизнь, и вот за несколько дней все оформила, даже не смотря на свое отсутствие.",5
Людмила,2018-10-09,"У меня очень хорошее впечатление о компании Донстрой. Приятное ощущение оставляет работа офиса на Мосфильмовской 70. Отдельную благодарность заслуживает менеджер Граб Алина как внимательный, оперативный и компетентный специалист по недвижимости.",5
Георгий,2018-09-26,"Хорошая компания, уже когда то покупал у них квартиру, а сейчас решил купит еще одну в ЖК Символ. На днях узнал новость о том, что Донстрой опять выбился в первую половину списка РБК-500, в котором упоминаются крупные компании, такие как «Газпром» и ЛУКОЙЛ. Это отлично, поскольку это значит что финансовые проблемы этому застройщику точно не грозят.",5
Наталья,2018-09-11,"У меня сложилось положительное впечатление о данной компании. Строят качественно, без каких-либо проблем, способы покупки удобные, без подводных камней. У Донстроя купила квартиру в Раменках, а точнее в ЖК Огни, практически сразу как в июле, открылся старт продаж. Цена меня полностью устроила, но а привлекло конечно же расположение. Донстрой в принципе всегда подбирает очень классные локации, но ул. Лобачевского на мой взгляд, самое оптимальное место для такого ЖК, к тому же долина реки Раменка не далеко. Я могу посоветовать данного застройщика.",5
Пользователь,2018-08-22,"Для меня была важна финансовая устойчивость компании и продолжительность нахождения на рынке. Перед покупкой, я внимательно изучал все эти вопросы и на основании этих критериев выбрал Донстрой. Компания на рынке с 1994 года и пережила кризисные времена.",5
Пользователь,2018-08-10,"Я с самого начала Символ мониторил. Проект изначально был интересен, но я решил подождать результатов, а именно первого сданного корпуса, дабы можно было судить о качестве строительства и темпах. И теперь, уже собрался брать, так как 6й корпус сдали раньше срока, существенных косяков люди после приемки не рассказываю",5
Мария,2018-08-02,"Я брала квартиру в одном из проектов Донстроя на моменте строительства, все очень понравилось. Сдали квартиры без задержек. Жаль конечно, что ни балкона, ни лоджии не было, но это далеко не решающий фактор. Главное качество, а оно на высоте. Я вот скоро родителям буду подыскивать квартиру и это точно будет проект Донстроя.",5
Влада,2018-07-09,"На вкус и цвет, конечно, каждый ищет что-то свое, у каждого свои ориентиры при поиске жилья. Но я вот сколько не смотрела рынок жилья бизнес-класса и выше, Донстрой был грубо говоря одним из немногих, кто делал действительно элитное жилье, а не просто навешивал ярлыки. А то у нас многие сейчас любят так делать - говорят, что дом бизнес-класса, дерут за этот якобы бизнес нехилые деньги, а по факту люди получают дома с дешевой внешней и внутренней отделкой, со дворами кое-как приведенными в порядок. За Донстроем я такого не встречала, до сих пор влюблена в Алые Паруса, жаль только что денег на квартиру там у меня все еще нету(",5
Тоня,2018-05-23,"Прочитала прошлые отзывы. Немного не согласна с некоторыми. У донстроя цена на их бизнес класс очень привлекательная, часто ниже, чем у конкурентов. Достаточно просто сравнить) Про их новый проект в комфорте тоже наслышана, даже близко ознакомилась. Фреш мне очень понравился, такое ощущение, что они просто свой обычный бизнес класс назвали комфортом и стали дешевле продавать) Я бы купила себе там квартирку) Ну и Светлана, изучайте предложения донстроя внимательнее. Все у них есть)",5
Светлана,2018-05-19,Вот когда Донстрой начнет строить однокомнатные квартиры с балконом (лоджией)???,4
Пользователь,2018-03-30,"Удивила и порадовала новость, что Донстрой стал в комфорт-классе работать. Уже давно слежу за их комплексами, нравится архитектура очень и качество строительства прекрасное, знаю не по наслышке. Только для меня цены в бизнесе неподъемные, теперь есть возможность позволить себе квартиру в красивом, качественном доме.",5
Lebb,2018-01-24,"Теперь на сайте Донстроя доступна услуга онлайн-бронирования квартир в сданных домах. Крайне удобная штука. Особенно, если вы поджидаете специальных акций, но в дни их проведения не успеваете в офис съездить. Я так квартиру в Соколином упустил(",5
Кирилл,2017-12-19,"Довольно известная компания на рынке Москвы, причем известна в основном строительством высококачественного жилья, бизнес класс и выше. Опыт работы с 94 года также внушает доверие",5
